Country	Canada	56.1304	106.3468
Province	Alberta	53.5344	-113.4903
Province	NWT	69.50061	-121.50445
City	AIRDRIE	51.2917	-114.0144
City	ALBERTA BEACH	53.6767	-114.35
City	ATHABASCA	54.7197	-113.2856
City	ATIKAMEG	55.90866303	-115.6356641
City	BANFF	51.1781	-115.5719
City	BARRHEAD	54.1167	-114.4
City	BASSANO	50.7833	-112.4667
City	BEAUMONT	53.3572	-113.4147
City	BEAVERLODGE	55.2094	-119.4292
City	BENTLEY	52.4667	-114.05
City	BLACK DIAMOND	50.6881	-114.2333
City	BLACKFALDS	52.3833	-113.8
City	BON ACCORD	53.8328	-113.4189
City	BONNYVILLE	54.2667	-110.75
City	BOW ISLAND	49.8667	-111.3667
City	BOWDEN	51.9306	-114.0256
City	BROOKS	50.5642	-111.8989
City	BRUEDERHEIM	53.8042	-112.9278
City	CALGARY	51.05	-114.0667
City	CALMAR	53.25	-113.7833
City	CAMROSE	53.0167	-112.8333
City	CANMORE	51.089	-115.359
City	CARDSTON	49.2025	-113.3019
City	CARSTAIRS	51.5619	-114.0953
City	CHESTERMERE	51.05	-113.8225
City	CLARESHOLM	50.0194	-113.5783
City	COALDALE	49.7333	-112.6167
City	COALHURST	49.7457	-112.9319
City	COCHRANE	51.189	-114.467
City	COLD LAKE	54.4642	-110.1825
City	CROSSFIELD	51.4333	-114.0333
City	CROWSNEST PASS	49.5955	-114.5136
City	DEVON	53.3633	-113.7322
City	DEWBERRY	53.585944	-110.521167
City	DIDSBURY	51.6658	-114.1311
City	DRAYTON VALLEY	53.2222	-114.9769
City	DRUMHELLER	51.4636	-112.7194
City	DUCHESS	50.7333	-111.9
City	ECKVILLE	52.3622	-114.3614
City	EDMONTON	53.5344	-113.4903
City	EDSON	53.5817	-116.4344
City	ELK POINT	53.8967	-110.8972
City	FAIRVIEW	56.06675	-118.38606
City	FALHER	55.7372	-117.2014
City	FORT MACLEOD	49.7256	-113.3975
City	FORT MCMURRAY	56.72676	-111.38103
City	FORT SASKATCHEWAN	53.7128	-113.2133
City	FORT VERMILION	53.35409	-110.85849
City	FOX CREEK	54.395	-116.8092
City	FOX LAKE	58.46733146	-114.5358312
City	FT MACLEOD	49.71671	-113.41857
